ID,Alive,Protected
@0216daisukiyayo,True,False
@0rch1d1e6f57f7e,True,False
@0x0000000000011,True,False
@12471628649f,True,False
@23Yt0hflIRsch4v,True,False
@4v_nmsl,False,False
@4vnmbiis,True,False
@5VBBtELa7Mbkgbt,True,False
@60iAtLhb3cGQXMO,True,False
@6OU3mFxGssUSaNg,True,True
@893Corp,True,False
@8964_sakurako,True,False
@API_Doc_Bot,True,False
@ASW_G_08_ww,False,False
@Aaa34170715_QvQ,True,False
@ActressKason,False,False
@Alexand76927417,False,False
@Allison90695286,False,False
@Allison99027483,True,False
@Alpharius114,True,False
@AltePoor,True,False
@AltePoorMKII,True,False
@Alter58284903,True,False
@AmandaG82578496,True,False
@AmandaY67209170,False,False
@AmberCa80581771,False,False
@AmberOenick16,False,False
@AmberSm44948028,False,False
@AmyBrow75973219,False,False
@AngelaG59236576,False,False
@AngelaH14791953,True,False
@AngieEuiiiiiiii,False,False
@AngieRo22221524,True,False
@Apocaly34105471,True,False
@ArleneS40792611,False,False
@Art_of_FatBoy,True,False
@Artia20III9,True,False
@Asalted89896221,True,False
@Ash92544146,True,False
@AshleyDudek1,False,False
@Augustu25323203,False,False
@AutumnC56610420,False,False
@AvaElli65778543,False,False
@Awfgbn1,True,False
@BLMS84316803,True,False
@BXNWplmz1H0Uerz,True,False
@Babbagebot1,False,False
@BaiJinNiuZi,True,False
@BaiWanNiuZi,True,False
@BertrandDenice,False,False
@BigBaerAlKOKU,False,False
@Bili_USA_Talk,True,False
@BrandyK48362562,False,False
@BrandyR34125559,False,False
@Brianna41827074,True,False
@BrokenDefense,False,False
@BrownPuzzle,False,False
@BunnygirlXi,True,False
@CMNFuneral_PR,True,False
@CNM_Chinese,True,False
@COVEREmbassy_US,False,False
@CaiHaozhou,True,False
@Candice53938887,True,False
@CarleneFolsom,True,False
@Carolyn76918554,True,False
@CassFera,True,False
@Charglehoshoki2,True,False
@Chariss86948690,True,False
@ChefOfLubyanka,True,False
@Chen18906867,True,False
@Cherryb26673094,False,False
@ChiHarr61511997,True,False
@ChinksSlayer,True,False
@ChloeFo27574080,False,False
@Christi13056259,False,False
@Christi39375743,True,False
@Christy50801875,True,False
@ChromeJo2,True,False
